NAME                                 ID         SIZE
Qwen3.5-40B-Claude-4.6-Opus-Deckard-Heretic-Uncensored-Thinking.Q8_0 1df64028     38.7 GB
Codestral-22B-v0.1-Q4_K_M            3b2834c9     11.8 GB
chaos_test                           0541d9db      0.0 KB
test2                                e5585386      0.0 KB
custom-agentic-coder                 02f6a4c8      0.0 KB
claude-3-sonnet                      e399f657      0.0 KB
gpt-4-turbo                          59e973e9      0.0 KB
meta-llama-3.1-8b-instruct           765de0e8      0.0 KB
BigDaddyG-F32-FROM-Q4                f463bed3     36.2 GB
BigDaddyG-NO-REFUSE-Q4_K_M           b863604c     36.2 GB
BigDaddyG-Q2_K-CHEETAH               9ea0e80c     23.7 GB
BigDaddyG-Q2_K-PRUNED-16GB           9d6360c7     15.8 GB
BigDaddyG-Q2_K-ULTRA                 688fc5ff     23.7 GB
BigDaddyG-UNLEASHED-Q4_K_M           be69fa56     36.2 GB
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M     338cf136      4.7 GB
DeepSeek-R1-Q4_K_M-COMPLETE          125325c0    376.7 GB
DeepSeek-R1-Q4_K_M                   fdf79f84    109.7 GB
gemma-4-31B-it-Q4_K_M                1775f007     17.4 GB
gemma-4-E4B-it-Q4_K_M                8d9c7ec0      5.0 GB
GLM-4.7-Flash-Q4_K_M                 b91932a7     16.9 GB
Q4_K_M                               ee2717e8    578.6 GB
MiniMax-M2.7-Q4_K_M                  078e299f    128.8 GB
NVIDIA-Nemotron-3-Nano-4B-Q8_0       6bfb6b69      3.9 GB
Phi-3-medium-128k-instruct-Q4_K_M    c6b62509      8.0 GB
Phi-3-mini-4k-instruct-q8_0          960f411e      2.0 GB
qwen2.5-coder-14b-instruct-q8_0      56a7dc81     14.6 GB
Qwen3.5-40B-Claude-4.6-Opus-Deckard-Heretic-Uncensored-Thinking.Q4_K_M 53441a94     22.3 GB
Qwen3.5-40B-Claude-4.6-Opus-Deckard-Heretic-Uncensored-Thinking.Q8_0 81c10f89     38.7 GB
Qwen3.6-27B-Fable-Fus-711-UnHeretic-NM-DAU-NEO-MAX-NEO-MTP-Q4_K_M af9e1d2b     17.2 GB
Qwen3.6-35B-A3B-Q4_K_M               457b3fde     19.7 GB
Qwen3.8-27B-AD-Q4_K_M                4c443c04     15.9 GB
Qwen3.8-Flash-Next-AD-IQ1_M-M64      5d11da06     79.1 GB
Codestral-22B-v0.1-Q4_K_M            9218e4d8     11.8 GB
Phi-3-mini-4k-instruct-q8_0          b3588d87      2.0 GB
llama3.2-3b-Q2_K                     d91104bd      1.3 GB
NVIDIA-Nemotron-3-Nano-4B-Q8_0       59a86b78      3.9 GB
Qwen3.8-27B-AD-Q4_K_M                7a16e47f     15.9 GB
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M     c10220cc      4.7 GB
gemma-4-E4B-it-Q4_K_M                d9c139d6      5.0 GB
Phi-3-medium-128k-instruct-Q4_K_M    a4b51aa3      8.0 GB
Codestral-22B-v0.1-Q4_K_M            a375bbe6     11.8 GB
qwen2.5-coder-14b-instruct-q8_0      dfb9957d     14.6 GB
BigDaddyG-Q2_K-ULTRA                 fb7a8f5b     23.7 GB
GLM-4.7-Flash-Q4_K_M                 f5f97f7c     16.9 GB
