ARCH-CERT-001: GGUF Tensor/Operation Inventory
Model: F:\~dev\Qwen3.5-40B-Q4_K_M.gguf
GGUF version: 3
Tensor count: 1275
Tensor data offset: 11020224

=== Category Summary ===
Category,Count,ApproxSize
embedding,1,1271398400
attention,360,7801909248
ffn,288,25669140480
norm,96,491520
output,26,2026378240
ssm,432,2300329728
conv,72,2949120

=== Full Inventory ===
Name,Type,Shape,Offset,Size,Category
blk.21.ffn_up.weight,Q4_K,5120x17408,6878910400,89128960,ffn
blk.21.post_attention_norm.weight,F32,5120,6929045440,5120,norm
blk.21.ssm_a,F32,48,6929065920,48,ssm
blk.21.ssm_alpha.weight,Q4_K,5120x48,6929066112,245760,ssm
blk.21.ssm_beta.weight,Q4_K,5120x48,6929204352,245760,ssm
blk.21.ssm_conv1d.weight,F32,4x10240,6929342592,40960,conv
blk.21.ssm_dt.bias,F32,48,6929506432,48,ssm
blk.21.ssm_norm.weight,F32,128,6929506624,128,ssm
blk.21.ssm_out.weight,Q4_K,6144x5120,6929507136,31457280,ssm
blk.22.attn_gate.weight,Q4_K,5120x6144,6947201856,31457280,attention
blk.22.attn_norm.weight,F32,5120,6964896576,5120,attention
blk.22.attn_qkv.weight,Q5_K,5120x10240,6964917056,52428800,attention
blk.22.ffn_down.weight,Q4_K,17408x5120,7000961856,89128960,ffn
blk.22.ffn_gate.weight,Q4_K,5120x17408,7051096896,89128960,ffn
blk.22.ffn_up.weight,Q4_K,5120x17408,7101231936,89128960,ffn
blk.22.post_attention_norm.weight,F32,5120,7151366976,5120,norm
blk.22.ssm_a,F32,48,7151387456,48,ssm
blk.22.ssm_alpha.weight,Q4_K,5120x48,7151387648,245760,ssm
blk.22.ssm_beta.weight,Q4_K,5120x48,7151525888,245760,ssm
blk.22.ssm_conv1d.weight,F32,4x10240,7151664128,40960,conv
blk.22.ssm_dt.bias,F32,48,7151827968,48,ssm
blk.22.ssm_norm.weight,F32,128,7151828160,128,ssm
blk.22.ssm_out.weight,Q4_K,6144x5120,7151828672,31457280,ssm
blk.23.attn_k.weight,Q4_K,5120x1024,7169523392,5242880,attention
